[2022-08-10 11:36:02,557]^;INFO^;226^;configuration.py^;get_training_pipeline_config()^;Training pipleine config: TrainingPipelineConfig(artifact_dir='/home/yogesh/self-learning/project/machine_learning_project/housing/artifact')
[2022-08-10 11:36:02,558]^;INFO^;116^;pipeline.py^;run_pipeline()^;Pipeline starting.
[2022-08-10 11:36:02,558]^;INFO^;13^;demo.py^;main()^;main function execution completed.
[2022-08-10 11:36:02,558]^;INFO^;132^;pipeline.py^;run_pipeline()^;Pipeline experiment: Experiment(experiment_id='3a396384-73c5-40d5-b252-f4b4b71dd7b8', initialization_timestamp='2022-08-10-11-36-01', artifact_time_stamp='2022-08-10-11-36-01', running_status=True, start_time=datetime.datetime(2022, 8, 10, 11, 36, 2, 558596), stop_time=None, execution_time=None, message='Pipeline has been started.', experiment_file_path='/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/experiment/experiment.csv', accuracy=None, is_model_accepted=None)
[2022-08-10 11:36:02,569]^;INFO^;65^;configuration.py^;get_data_ingestion_config()^;Data Ingestion config: DataIngestionConfig(dataset_download_url='https://raw.githubusercontent.com/ageron/handson-ml/master/datasets/housing/housing.tgz', tgz_download_dir='/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/tgz_data', raw_data_dir='/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/raw_data', ingested_train_dir='/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/ingested_data/train', ingested_test_dir='/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/ingested_data/test')
[2022-08-10 11:36:02,569]^;INFO^;16^;data_ingestion.py^;__init__()^;>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Ingestion log started.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
[2022-08-10 11:36:02,570]^;INFO^;37^;data_ingestion.py^;download_housing_data()^;Downloading file from :[https://raw.githubusercontent.com/ageron/handson-ml/master/datasets/housing/housing.tgz] into :[/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/tgz_data/housing.tgz]
[2022-08-10 11:36:02,748]^;INFO^;39^;data_ingestion.py^;download_housing_data()^;File :[/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/tgz_data/housing.tgz] has been downloaded successfully.
[2022-08-10 11:36:02,748]^;INFO^;54^;data_ingestion.py^;extract_tgz_file()^;Extracting tgz file: [/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/tgz_data/housing.tgz] into dir: [/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/raw_data]
[2022-08-10 11:36:02,766]^;INFO^;57^;data_ingestion.py^;extract_tgz_file()^;Extraction completed
[2022-08-10 11:36:02,766]^;INFO^;71^;data_ingestion.py^;split_data_as_train_test()^;Reading csv file: [/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/raw_data/housing.csv]
[2022-08-10 11:36:02,783]^;INFO^;81^;data_ingestion.py^;split_data_as_train_test()^;Splitting data into train and test
[2022-08-10 11:36:02,790]^;INFO^;99^;data_ingestion.py^;split_data_as_train_test()^;Exporting training datset to file: [/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/ingested_data/train/housing.csv]
[2022-08-10 11:36:02,848]^;INFO^;104^;data_ingestion.py^;split_data_as_train_test()^;Exporting test dataset to file: [/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/ingested_data/test/housing.csv]
[2022-08-10 11:36:02,863]^;INFO^;113^;data_ingestion.py^;split_data_as_train_test()^;Data Ingestion artifact:[DataIngestionArtifact(train_file_path='/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/ingested_data/train/housing.csv', test_file_path='/home/yogesh/self-learning/project/machine_learning_project/housing/artifact/data_ingestion/2022-08-10-11-36-01/ingested_data/test/housing.csv', is_ingested=True, message='Data ingestion completed successfully.')]
